Field code;Area;pH;DOC (mg C/l) 0.01MCaCl2;Cu (mg/kg) 0.01MCaCl2;Zn (mg/kg) 0.01MCaCl2;Cu2+ activity (log M);Cu (mg/kg) 0.43 M HNO3;Zn (mg/kg) 0.43 M HNO3;Depth;clay (%);SOM (%);CaCO3 (%);;
G1-T1;W;7,29;30,36;0,19;0,08;-8,62;40,26;163,68;1;15;9,56;7;;
G1-T1;W;7,27;32,17;0,19;0,08;NA;39,14;163,38;1;15;9,69;NA;;
G1-T1;W;7,28;31,48;0,2;0,08;NA;39,55;166,43;1;15;9,86;NA;;
G1-T2;W;7,33;15,95;0,16;0,11;-8,81;60,39;266,47;2;25;7;8;;
G1-T3;W;7,35;6,93;0,14;0,2;-8,85;71,17;278,67;3;35;4,22;9;;
G1-T4;W;7,27;37,99;0,16;0,08;-9,12;36,5;158,3;1;27,5;9,16;7;;
G1-T5;W;7,31;19,49;0,16;0,09;-9,15;45,65;190,83;2;35;6,3;7;;
G1-T6;W;7,31;9,76;0,18;0,26;-9,15;114,07;482,31;3;55;6,21;7;;
G1-T7;W;7,31;27,13;0,17;0,06;-9,31;34,36;135,52;1;50;6,48;6;;
G1-T8;W;7,41;13,3;0,13;0,06;-9,31;40,67;168,06;2;50;4,23;8;;
G1-T9;W;7,37;7,48;0,15;0,19;-9,23;68,02;290,87;3;50;3,55;8;;
R1;W;7,2;35,59;0,53;0,66;NA;118,44;680,76;NA;;12,1;8;;
G2-T1;W;7,23;67,08;0,2;0,08;-8,37;37,41;151,89;1;20;11,23;6;;
G2-T1;W;7,22;66,49;0,2;0,08;NA;37,41;151,99;1;20;10,99;NA;;
G2-T1;W;7,25;53,68;0,2;0,08;NA;38,33;154,84;1;20;11,23;NA;;
G2-T2;W;7,34;16,47;0,15;0,11;-8,45;56,73;230,17;2;25;6,55;7;;
G2-T3;W;7,4;10,17;0,17;0,15;-8,49;61,92;232,51;3;15;5,57;7;;
G2-T4;W;7,28;43,81;0,37;0,14;-8,79;53,78;186,25;1;15;10,9;5;;
G2-T5;W;7,42;8,11;0,14;0,17;-8,56;63,64;264,23;2;20;5,64;6;;
G2-T6;W;7,47;4,81;0,12;0,19;-8,71;69,03;265,25;3;25;4,65;6,5;;
G2-T7;W;7,32;22,18;0,16;0,07;-8,82;34,97;133,49;1;25;6,96;4;;
G2-T8;W;7,29;16,5;0,2;0,19;-9,05;71,27;282,63;2;18;7,62;4;;
