Sample type;Field code;Area;Lat;Long;Cu (mg/kg) 0.43 M HNO3;Zn (mg/kg) 0.43 M HNO3
topsoil site;G1-V1;W;51,8654172;5,953826;39,04;156,26
topsoil site;G1-V2;W;51,8653892;5,9537885;38,23;166,73
topsoil site;G1-V3;W;51,8653227;5,9536469;34,06;135,73
topsoil site;G1-V4;W;51,8650155;5,9528661;34,87;143,45
topsoil site;G1-V5;W;51,86488901;5,9526215;37,52;141,22
topsoil site;G1-V6;W;51,8646559;5,9520048;33,14;129,52
topsoil site;G1-V7;W;51,8645466;5,9518397;26,94;109,39
topsoil site;G1-V8;W;51,8645036;5,9516941;34,26;133,9
topsoil site;G1-V9;W;51,8642952;5,9512766;35,08;153,42
topsoil site;G1-V10;W;51,8642624;5,9510745;37,52;212,89
topsoil site;G2-V1;W;51,86537;5,953972;37,92;138,47
topsoil site;G2-V2;W;51,865355;5,954104;39,55;142,84
topsoil site;G2-V3;W;51,865252;5,954206;38,63;140,4
topsoil site;G2-V4;W;51,864766;5,954721;45,95;176,29
topsoil site;G2-V5;W;51,864626;5,954885;42,09;158,7
topsoil site;G2-V6;W;51,864273;5,955324;39,04;158,91
topsoil site;G2-V7;W;51,864168;5,955482;31,21;136,84
topsoil site;G2-V8;W;51,864092;5,955523;35,79;151,38
topsoil site;G2-V9;W;51,863726;5,955552;28,47;105,94
topsoil site;G2-V10;W;51,86359;5,955531;24,3;93,64
topsoil site;G3-V1;W;51,8654515;5,9538998;42,7;160,02
topsoil site;G3-V2;W;51,8652687;5,9538529;40,16;149,45
topsoil site;G3-V3;W;51,865237;5,9538482;39,24;152,81
topsoil site;G3-V4;W;51,8651049;5,9538626;43,82;163,28
topsoil site;G3-V5;W;51,8643175;5,9536367;33,75;139,08
topsoil site;G3-V6;W;51,864095;5,953638;31,01;129,02
topsoil site;G3-V7;W;51,8632668;5,9535253;33,25;128,71
topsoil site;G3-V8;W;51,8631423;5,9535284;34,06;124,95
topsoil site;G3-V9;W;51,8626237;5,9534372;39,04;152,4
topsoil site;G3-V10;W;51,8624549;5,9533024;30,2;120,48
topsoil site;G4-V1;E;51,866681;5,964994;66,53;246,02
topsoil site;G4-V2;E;51,866679;5,965019;78,63;288,71
topsoil site;G4-V3;E;51,866729;5,965138;66,97;231,36
topsoil site;G4-V4;E;51,867068;5,965578;80,37;298,19
topsoil site;G4-V5;E;51,867188;5,965787;62,4;218,46
topsoil site;G4-V6;E;51,867517;5,966288;48,08;172,14
topsoil site;G4-V7;E;51,86754;5,966296;40,15;131,69
topsoil site;G4-V8;E;51,867628;5,966325;53,36;193,3
topsoil site;G4-V9;E;51,867788;5,966638;46,62;178,65
topsoil site;G4-V10;E;51,867948;5,966749;40,48;147,69
topsoil site;G5-V1;E;51,866533;5,965014;67,3;233,02
topsoil site;G5-V2;E;51,866517;5,965054;64,25;231,8
topsoil site;G5-V3;E;51,866481;5,965151;59,07;223,57
topsoil site;G5-V4;E;51,866427;5,965704;64,46;234,44
topsoil site;G5-V5;E;51,865997;5,966045;66,29;242,07
topsoil site;G5-V6;E;51,865789;5,966444;44,94;172,94
topsoil site;G5-V7;E;51,86571;5,966641;65,47;239,02
topsoil site;G5-V8;E;51,865644;5,966739;66,69;237,29
topsoil site;G5-V9;E;51,86547;5,967044;49,21;179,04
topsoil site;G5-V10;E;51,865428;5,967268;63,64;229,46
topsoil site;G6-V1;E;51,866611;5,964908;47,88;177,18
topsoil site;G6-V2;E;51,866607;5,965158;68,62;239,04
topsoil site;G6-V3;E;61,866629;5,965299;72,89;264,7
topsoil site;G6-V4;E;51,866622;5,965393;74,22;269,26
topsoil site;G6-V5;E;51,866639;5,966394;65,46;255,29
topsoil site;G6-V6;E;51,86658;5,966745;68,94;260,83
topsoil site;G6-V7;E;51,866734;5,967851;46,48;151,74
topsoil site;G6-V8;E;51,866744;5,968002;59,04;189,9
topsoil site;G6-V9;E;51,866747;5,96862;53,36;176,83
topsoil site;G6-V10;E;51,866751;5,968884;61,88;217,98
transect;G1T1;W;51,864434;5,952402;40,26;163,68
transect;G1T4;W;51,864875;5,9528683;36,5;158,3
transect;G1T7;W;51,865251;5,9532306;34,36;135,52
transect;G2T1;W;;;37,41;151,89
transect;G2T4;W;;;53,78;186,25
transect;G2T7;W;;;34,97;133,49
transect;G3T1;W;51,8647987;5,9545932;45,04;186,86
transect;G3T4;W;51,8644577;5,954162;38,23;161,24
transect;G3T7;W;51,8639939;5,9538616;27,86;119,66
transect;G4T1;E;51,866945;5,96542;73,75;266,57
transect;G4T4;E;51,867339;5,965983;62,69;207,96
transect;G4T7;E;51,867636;5,966306;51,23;175,96
transect;G5T1;E;51,866579;5,966775;74,01;273,99
transect;G5T4;E;51,866991;5,967008;61,2;234,65
transect;G5T7;E;51,867425;5,967141;42,19;165,31
transect;G6T1;E;51,866789;5,966081;64,48;235,01
transect;G6T4;E;51,867158;5,966528;49,89;171,51
transect;G6T7;E;51,867551;5,966883;53,86;240,33
